,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Day0,39.0,60.0,56.0,11.0,58.0,2.0,3.0,3.0,5.0,67.0,3.0,9.0,67.0,66.0,73.0,4.0,8.0,8.0,66.0,67.0
Day1,2.0,78.0,35.0,14.0,62.0,1.0,3.0,6.0,2.0,73.0,1.0,1.0,71.0,72.0,74.0,3.0,13.0,3.0,73.0,33.0
Day2,2.0,58.0,77.0,10.0,54.0,3.0,2.0,4.0,3.0,62.0,4.0,8.0,61.0,58.0,66.0,3.0,9.0,2.0,61.0,44.0
Day3,2.0,41.0,38.0,63.0,43.0,1.0,1.0,2.0,5.0,71.0,4.0,5.0,70.0,69.0,91.0,5.0,12.0,2.0,69.0,36.0
Day4,1.0,37.0,35.0,6.0,76.0,1.0,1.0,0.0,1.0,70.0,6.0,9.0,66.0,64.0,67.0,0.0,2.0,1.0,70.0,33.0
Day5,2.0,54.0,65.0,14.0,55.0,56.0,3.0,6.0,3.0,72.0,2.0,2.0,71.0,71.0,71.0,2.0,11.0,1.0,71.0,31.0
Day6,3.0,67.0,67.0,8.0,69.0,5.0,50.0,4.0,1.0,78.0,3.0,8.0,77.0,74.0,80.0,0.0,5.0,5.0,76.0,71.0
Day7,4.0,36.0,32.0,59.0,36.0,0.0,3.0,47.0,4.0,71.0,2.0,5.0,69.0,66.0,84.0,6.0,56.0,4.0,71.0,35.0
Day8,2.0,71.0,44.0,13.0,57.0,3.0,4.0,4.0,42.0,70.0,4.0,7.0,72.0,71.0,75.0,3.0,9.0,2.0,68.0,38.0
Day9,5.0,47.0,46.0,11.0,48.0,1.0,4.0,3.0,2.0,81.0,3.0,5.0,50.0,47.0,55.0,4.0,9.0,1.0,57.0,49.0
Day10,1.0,34.0,33.0,10.0,34.0,4.0,5.0,1.0,1.0,72.0,52.0,55.0,69.0,66.0,82.0,2.0,8.0,4.0,70.0,35.0
Day11,2.0,42.0,41.0,14.0,39.0,5.0,5.0,2.0,4.0,70.0,4.0,51.0,70.0,70.0,87.0,2.0,12.0,3.0,70.0,37.0
Day12,3.0,37.0,36.0,13.0,39.0,3.0,2.0,2.0,4.0,69.0,2.0,5.0,84.0,46.0,51.0,3.0,10.0,1.0,69.0,35.0
Day13,2.0,37.0,34.0,10.0,36.0,1.0,5.0,5.0,4.0,77.0,8.0,11.0,74.0,83.0,52.0,2.0,8.0,5.0,77.0,34.0
Day14,2.0,36.0,34.0,15.0,36.0,2.0,6.0,1.0,3.0,76.0,2.0,3.0,74.0,73.0,90.0,5.0,11.0,1.0,75.0,33.0
Day15,5.0,42.0,37.0,61.0,44.0,5.0,3.0,2.0,3.0,73.0,0.0,0.0,70.0,69.0,89.0,54.0,59.0,3.0,71.0,36.0
Day16,4.0,37.0,38.0,53.0,38.0,5.0,4.0,2.0,0.0,73.0,2.0,6.0,69.0,71.0,85.0,7.0,49.0,3.0,72.0,36.0
Day17,3.0,68.0,70.0,10.0,70.0,2.0,5.0,2.0,0.0,73.0,1.0,4.0,66.0,64.0,73.0,2.0,6.0,53.0,73.0,77.0
Day18,57.0,60.0,56.0,10.0,56.0,1.0,3.0,4.0,6.0,66.0,4.0,4.0,65.0,63.0,66.0,2.0,7.0,3.0,64.0,77.0
Day19,3.0,76.0,44.0,13.0,56.0,4.0,2.0,1.0,1.0,65.0,2.0,3.0,63.0,65.0,67.0,4.0,8.0,1.0,62.0,42.0
Day20,4.0,59.0,69.0,9.0,59.0,0.0,4.0,1.0,3.0,70.0,2.0,5.0,68.0,68.0,70.0,3.0,8.0,6.0,68.0,39.0
Day21,3.0,37.0,36.0,61.0,37.0,1.0,4.0,3.0,1.0,72.0,4.0,7.0,69.0,70.0,86.0,4.0,10.0,1.0,72.0,34.0
Day22,1.0,32.0,31.0,12.0,73.0,4.0,3.0,5.0,2.0,75.0,3.0,5.0,73.0,72.0,77.0,3.0,11.0,4.0,75.0,29.0
Day23,2.0,62.0,67.0,16.0,62.0,43.0,3.0,0.0,4.0,73.0,4.0,8.0,73.0,72.0,80.0,8.0,10.0,2.0,73.0,34.0
Day24,2.0,61.0,57.0,10.0,62.0,3.0,51.0,2.0,2.0,71.0,2.0,7.0,67.0,65.0,70.0,1.0,7.0,2.0,70.0,68.0
Day25,3.0,46.0,42.0,55.0,47.0,4.0,6.0,45.0,3.0,70.0,0.0,1.0,68.0,64.0,82.0,3.0,51.0,1.0,70.0,37.0
Day26,4.0,73.0,39.0,10.0,58.0,1.0,4.0,2.0,52.0,67.0,1.0,3.0,67.0,65.0,67.0,3.0,5.0,5.0,65.0,42.0
Day27,2.0,40.0,34.0,13.0,37.0,1.0,2.0,3.0,6.0,86.0,4.0,9.0,48.0,48.0,53.0,2.0,8.0,2.0,71.0,33.0
Day28,1.0,42.0,38.0,13.0,42.0,3.0,3.0,2.0,3.0,74.0,50.0,50.0,71.0,70.0,87.0,2.0,10.0,2.0,73.0,32.0
Day29,4.0,44.0,44.0,12.0,41.0,4.0,2.0,8.0,3.0,68.0,3.0,54.0,69.0,68.0,89.0,1.0,10.0,3.0,67.0,42.0
Day30,3.0,42.0,39.0,11.0,40.0,2.0,2.0,4.0,2.0,72.0,1.0,2.0,87.0,45.0,48.0,1.0,10.0,5.0,72.0,37.0
Day31,4.0,33.0,32.0,11.0,34.0,5.0,3.0,3.0,3.0,81.0,3.0,6.0,80.0,89.0,51.0,4.0,10.0,3.0,79.0,29.0
Day32,0.0,44.0,43.0,7.0,45.0,7.0,2.0,2.0,3.0,66.0,2.0,6.0,67.0,64.0,90.0,1.0,6.0,2.0,66.0,37.0
Day33,3.0,37.0,35.0,67.0,39.0,0.0,3.0,2.0,4.0,73.0,6.0,7.0,73.0,72.0,93.0,57.0,64.0,1.0,72.0,34.0
Day34,3.0,31.0,32.0,66.0,32.0,1.0,2.0,5.0,2.0,75.0,1.0,4.0,74.0,72.0,87.0,3.0,64.0,2.0,75.0,31.0
Day35,3.0,54.0,54.0,12.0,53.0,1.0,2.0,2.0,0.0,69.0,4.0,10.0,67.0,64.0,69.0,4.0,9.0,57.0,67.0,73.0
Day36,58.0,58.0,58.0,10.0,59.0,3.0,3.0,6.0,1.0,64.0,3.0,5.0,65.0,64.0,68.0,3.0,10.0,2.0,63.0,77.0
Day37,1.0,68.0,35.0,14.0,55.0,4.0,1.0,5.0,3.0,71.0,5.0,7.0,71.0,70.0,71.0,3.0,12.0,2.0,71.0,31.0
Day38,3.0,70.0,71.0,13.0,68.0,2.0,6.0,3.0,6.0,77.0,3.0,4.0,72.0,72.0,78.0,5.0,10.0,0.0,76.0,32.0
Day39,0.0,41.0,39.0,60.0,38.0,2.0,2.0,7.0,5.0,69.0,2.0,5.0,69.0,67.0,84.0,2.0,10.0,4.0,69.0,36.0
Day40,4.0,45.0,45.0,9.0,73.0,3.0,1.0,2.0,2.0,61.0,2.0,2.0,63.0,62.0,63.0,3.0,6.0,2.0,59.0,45.0
Day41,1.0,60.0,70.0,22.0,57.0,45.0,1.0,4.0,4.0,65.0,4.0,6.0,63.0,61.0,73.0,7.0,18.0,3.0,65.0,38.0
Day42,4.0,59.0,56.0,16.0,60.0,1.0,43.0,2.0,3.0,69.0,4.0,6.0,70.0,68.0,75.0,5.0,11.0,4.0,69.0,67.0
Day43,3.0,35.0,35.0,68.0,34.0,3.0,2.0,55.0,1.0,66.0,2.0,5.0,65.0,63.0,83.0,2.0,64.0,3.0,66.0,38.0
Day44,1.0,73.0,42.0,7.0,56.0,3.0,3.0,3.0,51.0,66.0,6.0,10.0,66.0,64.0,71.0,1.0,6.0,5.0,66.0,40.0
Day45,5.0,42.0,42.0,14.0,45.0,9.0,3.0,1.0,0.0,81.0,2.0,5.0,53.0,54.0,58.0,5.0,8.0,3.0,67.0,39.0
Day46,5.0,43.0,39.0,15.0,43.0,2.0,3.0,3.0,4.0,71.0,44.0,46.0,69.0,70.0,88.0,5.0,9.0,3.0,70.0,38.0
Day47,1.0,39.0,35.0,8.0,38.0,2.0,2.0,1.0,3.0,68.0,2.0,57.0,66.0,62.0,79.0,1.0,3.0,1.0,67.0,34.0
Day48,4.0,41.0,38.0,9.0,44.0,4.0,1.0,0.0,3.0,72.0,3.0,7.0,88.0,55.0,57.0,4.0,8.0,5.0,72.0,35.0
Day49,8.0,51.0,47.0,13.0,53.0,4.0,2.0,4.0,1.0,68.0,2.0,4.0,68.0,83.0,64.0,1.0,9.0,3.0,67.0,42.0
Day50,3.0,43.0,43.0,13.0,46.0,1.0,2.0,7.0,0.0,62.0,3.0,6.0,62.0,62.0,89.0,0.0,9.0,3.0,62.0,42.0
Day51,2.0,29.0,28.0,65.0,31.0,1.0,1.0,4.0,3.0,77.0,3.0,7.0,74.0,72.0,87.0,59.0,64.0,1.0,77.0,26.0
Day52,4.0,34.0,32.0,54.0,39.0,3.0,3.0,6.0,3.0,75.0,4.0,7.0,71.0,71.0,87.0,4.0,51.0,3.0,75.0,31.0
Day53,4.0,59.0,56.0,9.0,60.0,4.0,2.0,2.0,1.0,71.0,3.0,5.0,72.0,70.0,73.0,1.0,8.0,55.0,70.0,71.0
Day54,56.0,61.0,62.0,12.0,62.0,2.0,0.0,3.0,2.0,74.0,5.0,9.0,73.0,71.0,79.0,1.0,8.0,4.0,73.0,74.0
Day55,2.0,74.0,45.0,10.0,52.0,5.0,5.0,2.0,4.0,66.0,3.0,6.0,65.0,63.0,63.0,2.0,7.0,1.0,66.0,40.0
Day56,3.0,65.0,69.0,7.0,66.0,1.0,2.0,1.0,2.0,78.0,4.0,7.0,76.0,75.0,77.0,2.0,4.0,4.0,78.0,28.0
Day57,2.0,37.0,39.0,56.0,39.0,5.0,4.0,6.0,0.0,69.0,8.0,12.0,70.0,69.0,89.0,3.0,10.0,2.0,69.0,37.0
Day58,4.0,49.0,47.0,9.0,81.0,8.0,2.0,5.0,4.0,61.0,2.0,3.0,63.0,62.0,69.0,0.0,5.0,2.0,61.0,43.0
Day59,4.0,53.0,70.0,11.0,54.0,51.0,2.0,4.0,2.0,69.0,2.0,5.0,65.0,64.0,67.0,4.0,11.0,4.0,69.0,37.0
Day60,5.0,55.0,49.0,14.0,55.0,2.0,44.0,6.0,3.0,72.0,0.0,2.0,70.0,66.0,67.0,1.0,10.0,4.0,71.0,63.0
Day61,2.0,37.0,35.0,59.0,41.0,5.0,4.0,52.0,1.0,76.0,5.0,7.0,76.0,74.0,91.0,3.0,56.0,4.0,74.0,32.0
Day62,4.0,71.0,31.0,9.0,59.0,3.0,5.0,2.0,54.0,71.0,4.0,4.0,69.0,68.0,68.0,0.0,7.0,1.0,71.0,34.0
Day63,2.0,40.0,37.0,8.0,40.0,3.0,2.0,3.0,3.0,90.0,2.0,4.0,46.0,46.0,49.0,2.0,7.0,1.0,71.0,34.0
Day64,4.0,46.0,45.0,9.0,50.0,2.0,2.0,2.0,1.0,65.0,58.0,59.0,67.0,69.0,94.0,3.0,6.0,2.0,63.0,42.0
Day65,2.0,40.0,38.0,14.0,38.0,1.0,5.0,3.0,3.0,69.0,3.0,55.0,69.0,66.0,85.0,5.0,9.0,4.0,66.0,41.0
Day66,3.0,30.0,26.0,12.0,33.0,4.0,1.0,6.0,2.0,83.0,3.0,8.0,92.0,49.0,51.0,2.0,10.0,2.0,82.0,23.0
Day67,2.0,41.0,40.0,9.0,44.0,3.0,5.0,1.0,3.0,70.0,3.0,4.0,69.0,82.0,53.0,3.0,6.0,4.0,69.0,38.0
Day68,6.0,45.0,46.0,11.0,42.0,3.0,1.0,2.0,1.0,63.0,6.0,11.0,62.0,59.0,82.0,4.0,8.0,5.0,61.0,46.0
Day69,1.0,35.0,32.0,63.0,35.0,5.0,0.0,1.0,5.0,76.0,2.0,5.0,75.0,75.0,91.0,58.0,61.0,1.0,75.0,26.0
Day70,1.0,37.0,38.0,64.0,38.0,4.0,2.0,4.0,2.0,70.0,2.0,5.0,69.0,70.0,88.0,3.0,63.0,4.0,69.0,36.0
Day71,3.0,60.0,58.0,20.0,60.0,3.0,3.0,4.0,3.0,77.0,3.0,4.0,78.0,77.0,80.0,5.0,15.0,47.0,76.0,65.0
Day72,60.0,59.0,55.0,9.0,55.0,0.0,4.0,1.0,6.0,68.0,4.0,5.0,64.0,63.0,66.0,4.0,8.0,1.0,66.0,76.0
Day73,3.0,80.0,38.0,7.0,61.0,0.0,4.0,0.0,4.0,68.0,1.0,3.0,66.0,67.0,68.0,1.0,5.0,4.0,68.0,40.0
Day74,4.0,62.0,78.0,11.0,61.0,2.0,2.0,1.0,2.0,69.0,2.0,7.0,69.0,68.0,73.0,5.0,9.0,0.0,68.0,36.0
Day75,5.0,43.0,41.0,66.0,44.0,0.0,3.0,3.0,0.0,70.0,0.0,5.0,73.0,72.0,92.0,6.0,12.0,2.0,69.0,39.0
Day76,3.0,32.0,31.0,11.0,76.0,1.0,3.0,3.0,0.0,79.0,2.0,5.0,79.0,74.0,79.0,2.0,5.0,0.0,79.0,27.0
Day77,2.0,62.0,70.0,10.0,65.0,54.0,1.0,3.0,4.0,76.0,4.0,7.0,76.0,74.0,77.0,3.0,8.0,3.0,74.0,30.0
Day78,4.0,60.0,57.0,8.0,64.0,3.0,49.0,5.0,6.0,76.0,2.0,8.0,75.0,73.0,78.0,2.0,7.0,2.0,75.0,66.0
Day79,1.0,44.0,42.0,50.0,44.0,3.0,3.0,41.0,2.0,62.0,3.0,10.0,64.0,63.0,82.0,3.0,47.0,5.0,61.0,43.0
Day80,7.0,73.0,33.0,16.0,60.0,0.0,5.0,3.0,53.0,74.0,2.0,4.0,73.0,71.0,77.0,4.0,11.0,3.0,72.0,38.0
Day81,5.0,37.0,37.0,10.0,40.0,4.0,1.0,4.0,2.0,88.0,1.0,3.0,46.0,46.0,49.0,2.0,7.0,5.0,73.0,36.0
Day82,2.0,32.0,29.0,12.0,34.0,2.0,2.0,3.0,4.0,76.0,63.0,63.0,74.0,76.0,92.0,4.0,10.0,1.0,76.0,28.0
Day83,2.0,39.0,37.0,12.0,40.0,3.0,3.0,6.0,2.0,70.0,2.0,57.0,68.0,65.0,87.0,2.0,9.0,2.0,69.0,36.0
Day84,6.0,41.0,38.0,16.0,41.0,0.0,5.0,6.0,1.0,74.0,0.0,1.0,89.0,52.0,55.0,2.0,12.0,3.0,73.0,38.0
Day85,3.0,42.0,35.0,9.0,46.0,3.0,5.0,2.0,4.0,72.0,0.0,4.0,71.0,76.0,53.0,3.0,8.0,5.0,71.0,36.0
Day86,2.0,34.0,31.0,12.0,34.0,3.0,1.0,3.0,3.0,76.0,2.0,5.0,73.0,72.0,84.0,5.0,10.0,4.0,75.0,30.0
Day87,2.0,42.0,40.0,63.0,43.0,2.0,5.0,2.0,4.0,66.0,4.0,5.0,62.0,58.0,84.0,55.0,58.0,3.0,66.0,40.0
Day88,1.0,39.0,39.0,71.0,36.0,3.0,4.0,1.0,1.0,63.0,4.0,6.0,64.0,64.0,88.0,4.0,70.0,1.0,63.0,39.0
Day89,5.0,57.0,57.0,10.0,57.0,2.0,3.0,3.0,1.0,64.0,5.0,8.0,64.0,64.0,70.0,5.0,9.0,54.0,64.0,76.0
Day90,59.0,70.0,72.0,11.0,74.0,7.0,2.0,6.0,0.0,83.0,0.0,2.0,83.0,84.0,84.0,3.0,10.0,3.0,81.0,73.0
Day91,2.0,76.0,36.0,10.0,64.0,2.0,2.0,4.0,1.0,71.0,3.0,8.0,70.0,70.0,77.0,1.0,7.0,2.0,70.0,33.0
Day92,4.0,56.0,70.0,8.0,60.0,2.0,7.0,3.0,5.0,72.0,4.0,5.0,70.0,67.0,71.0,3.0,8.0,4.0,70.0,42.0
Day93,2.0,47.0,43.0,67.0,49.0,2.0,3.0,5.0,4.0,67.0,2.0,4.0,68.0,68.0,94.0,3.0,11.0,4.0,66.0,41.0
Day94,1.0,38.0,38.0,9.0,72.0,2.0,2.0,2.0,1.0,68.0,2.0,7.0,66.0,63.0,68.0,3.0,7.0,2.0,68.0,36.0
Day95,4.0,59.0,75.0,9.0,58.0,55.0,0.0,4.0,6.0,68.0,3.0,4.0,67.0,64.0,69.0,3.0,8.0,3.0,66.0,40.0
Day96,4.0,63.0,58.0,8.0,63.0,2.0,54.0,0.0,3.0,75.0,3.0,6.0,73.0,73.0,75.0,2.0,4.0,3.0,74.0,71.0
Day97,4.0,39.0,42.0,62.0,37.0,4.0,2.0,54.0,3.0,67.0,1.0,4.0,68.0,66.0,87.0,4.0,60.0,2.0,66.0,40.0
Day98,3.0,71.0,38.0,7.0,57.0,2.0,2.0,1.0,47.0,70.0,4.0,11.0,67.0,65.0,71.0,3.0,4.0,7.0,69.0,38.0
Day99,3.0,39.0,32.0,17.0,37.0,2.0,0.0,3.0,8.0,88.0,2.0,5.0,57.0,54.0,57.0,7.0,16.0,3.0,73.0,31.0
